职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
数据分析主管,1万-2万,上海,5-10年,大专,['批发/零售'],旺旺集团,上市公司 ,10000人以上 ,上海
数据分析工程师/入职五险一金,1.2万-1.4万,上海-杨浦,1-3年,本科,['Python'],四川兰博利科技有限公司,民营 ,100-299人 ,上海
能力发展实习生（数据分析方向）,2千-3千,上海-浦东,不限,本科,"['SPSS', 'SQL']",阿特拉斯.科普柯（上海）贸易有限公司,外商独资 ,1000-9999人 ,上海
数据分析与消费者洞察主管（全域会员&新零售方向）-上海闵行-02193,2.5万-3.5万,上海,5-10年,本科,['SQL'],上海之禾企业发展有限公司,外商独资 ,1000-9999人 ,上海
数据分析师（营销系统）(A209249),2.5万-4万,上海-闵行,5-10年,本科,"['Python', 'SQL', 'SQL Server']",蔚来汽车,上市公司 ,10000人以上 ,上海
数据分析师(J10682),面议,上海-浦东,5-10年,本科,['数据分析'],中移(上海)信息通信科技有限公司,国企 ,1000-9999人 ,上海
电销数据分析,1.5万-2万,上海-浦东,3-5年,本科,[],海尔消费金融,合资 ,500-999人 ,上海
数据分析师,1.4万-1.9万,上海-浦东,3-5年,本科,['MATLAB'],上海翕振信息技术有限公司,股份制企业 ,300-499人 ,上海
销售运营 —专业分析--数据分析,8千-1.6万,上海-闵行,不限,本科,"['电销', '网络销售', '店面销售', '面销', '个人客户', '渠道销售', '房地产', '贷款行业']",上海链家地产,民营 ,10000人以上 ,上海
数据库管理分析师,1.5万-2.5万,上海-浦东,3-5年,硕士,"['深度学习', '机器学习']",美迪西,合资 ,1000-9999人 ,上海
数据分析 FE BP,8千-9千,上海-浦东,1-3年,本科,"['销售数据运营', '经营数据分析', '商业数据分析', '数据采集', 'Power BI', 'excel']",任仕达企业管理(上海)有限公司深圳分公司,外商独资 ,100-299人 ,上海
机电工程师转行Python大数据分析/sh,8千-1.2万,上海-黄浦,不限,大专,"['CAD', 'UG', 'CAXA', 'Ansoft', 'Nastran', 'SolidWorks', '初级电气工程师']",51Testing,民营 ,100-299人 ,上海
数据分析师,2万-3.5万,上海-浦东,1-3年,本科,"['聚类算法', 'Java', 'Python', 'SQL', 'MATLAB', 'SPSS', 'Stata', '机器学习']",深圳皓函科技有限公司,民营 ,20人以下 ,上海
薪资福利主管（数据分析）,1.5万-1.8万,上海-徐汇,5-10年,本科,"['薪酬福利', '薪酬核算', '薪酬分析', '外企']",达美乐比萨,外商独资 ,500-999人 ,上海
资深数据分析员,1.5万-2万,上海-静安,3-5年,大专,"['商业数据分析', '运营数据分析', '销售数据分析']",思播(上海)市场营销策划有限公司,合资 ,500-999人 ,上海
数据分析专员,150-200/天,上海-松江,无经验,学历不限,"['机器学习', '深度学习', 'Python', 'SPSS', 'SAS', 'MATLAB', 'Eviews', 'Stata', '回归算法', '预测分析', '方差分析']",青岛辉锐科技信息咨询有限公司,民营 ,20人以下 ,上海
电商数据分析师,2万-4万,上海-杨浦,3-5年,本科,"['商业数据分析', '电商数据']",上海挖豆信息科技有限公司, ,20人以下 ,上海
IT数字化项目管理(数据分析Python),面议,上海-闵行,不限,本科,"['SAP项目', '机器学习', '云计算']",西门子(中国)有限公司,外商独资 ,10000人以上 ,上海
薪酬福利主管（数据分析方向）,1万-1.5万,上海-徐汇,3-5年,本科,"['薪酬福利', '薪酬分析', '薪酬设计', '薪酬核算', '外企']",达美乐比萨,外商独资 ,500-999人 ,上海
数据分析经理（系统平台建设）,2.5万-3万,上海-长宁,5-10年,本科,['SAS'],上海交银信息数据有限公司,国企 ,1000-9999人 ,上海
营运助理/数据分析/薪资8k起,8千-1.5万,上海-闵行,不限,本科,"['个人客户', '房地产']",上海链家地产,民营 ,10000人以上 ,上海
大数据分析工程师,1.5万-2.5万,上海-崇明,1-3年,本科,"['Python', '机器学习', '业务数据分析']",江南造船(集团)有限责任公司,国企 ,10000人以上 ,上海
数据分析师,3万-6万,上海-长宁,3-5年,本科,"['数据分析', '数据挖掘', 'Hadoop', 'Spark']",拼多多,民营 ,1000-9999人 ,上海
IT咨询顾问-数据分析方向,6千-1万,上海,不限,本科,['IT咨询'],汉得信息,上市公司 ,10000人以上 ,上海
数据分析师,1.5万-2万,上海-静安,1-3年,本科,"['市场数据研究', 'SPSS', '英文口语和书写能力']",捷帕企业管理咨询(上海)有限公司, ,20人以下 ,上海
数据分析师,2.5万-4.5万,上海-长宁,1-3年,本科,"['数据分析', '数据挖掘', 'Hadoop', 'Spark', 'Python', 'Shell', '商业数据分析', '游戏数据分析']",拼多多,民营 ,1000-9999人 ,上海
"机器学习建模,Python,数据分析",面议,上海-闵行,1-3年,本科,['Python'],西门子(中国)有限公司,外商独资 ,10000人以上 ,上海
营销AI数据分析师,1万-1.8万,上海-徐汇,3-5年,本科,"['Python', 'SQL']",上海宏原信息科技有限公司,民营 ,20-99人 ,上海
贝壳科技管培生-住宿方案 保障8K+置业顾问 数据分析运营,8千-1.6万,上海-闵行,不限,本科,"['互联网行业', '投资/理财', '基金业务', '贷款行业', '互联网金融', '大客户（KA）']",上海链家地产,民营 ,10000人以上 ,上海
数据分析师（报告工程师）,1.5万-2万,上海-杨浦,5-10年,本科,"['Cognos', 'Tableau', 'RDBMS', 'SQL', 'SNOWFLAKE', 'Python', 'SCRUM', 'Azure', 'Spark']",上海睿沃信息科技有限公司,民营 ,20-99人 ,上海
资深数据分析师/总监（上海）,4万-7万,上海-徐汇,5-10年,本科,[],字节跳动,民营 ,10000人以上 ,上海
数据分析师（航运方向）,1.5万-3万,上海-虹口,3-5年,本科,['英语可作为工作语言'],香港洲际船务集团有限公司,上市公司 ,300-499人 ,上海
数据分析算法工程师,1.5万-3万,上海-宝山,3-5年,本科,"['Python', '机器学习', '深度学习', '神经网络', '分类算法']",上海宝掣科技有限公司,民营 ,20-99人 ,上海
储备店长 管培生 数据分析运营 管理运营 市场营销储备经理 互联网大平台,8千-1.5万,上海-浦东,不限,本科,"['个人客户', '大客户（KA）', '院校客户', '店长方向', '营销方向', '运营方向', '销售方向']",上海链家地产,民营 ,10000人以上 ,上海
SSC主管/经理(擅长数据分析) base盐城,1万-1.6万,上海-杨浦,3-5年,本科,"['数据分析能力', '制度流程建设', 'EHR线上化推动', '多地社保代理公司对接']",中联即送网络科技有限公司,合资 ,10000人以上 ,上海
2024百威中国信息技术与数据分析管培生（技术通道）,1千以下,上海-黄浦,不限,本科,"['生产性采购', '非生产性采购', '大中型企业采购经验', '食品/饮料/烟酒', '英语可作为工作语言', '美妆日化', '居家日用']",百威投资(中国)有限公司,外商独资 ,10000人以上 ,上海
数据分析统计员,4千-6千,上海-青浦,不限,中专/中技,[],上海福正供应链管理有限公司,民营 ,20-99人 ,上海
（互联网资源+团队合作+并肩战斗）新型互联网销售，数据分析师,8千-1.6万,上海-闵行,无经验,本科,"['电子商务', '房地产', '物业服务', '交通运输', '基金业务', '家具/家电', '贷款行业', '物联网']",上海链家地产,民营 ,10000人以上 ,上海
设计管理工程师（数据分析),1.5万-2.8万,上海-浦东,3-5年,本科,"['运营数据分析', '设计数据分析']",天津东疆海洋科技有限公司,民营 ,20人以下 ,上海
结构仿真计算、结构状态监测，数据处理分析、建筑人工智能研发,1.1万-2万,上海-浦东,不限,硕士,['土木/土建工程师'],上海建工,股份制企业 ,1000-9999人 ,上海
销售经理、数据分析、财务管理、房产运营,1.8万-3万,上海,不限,本科,"['营销方向', '市场方向', '销售方向', '店长方向']",上海链家地产,民营 ,10000人以上 ,上海
高级JAVA开发人员（企业和数据分析）,1.5万-2万,上海-杨浦,5-10年,本科,"['CS', 'SPRING BOOT', 'SQL', 'CI/CD', 'Hadoop', 'AWS', 'TDD', 'DDD', 'EDD', 'Spark', 'Kafka']",上海睿沃信息科技有限公司,民营 ,20-99人 ,上海
生物统计师/数据分析师（工作地点：北京/上海/天津/福建）,1.5万-3万,上海-黄浦,1-3年,硕士,"['生物统计师', '生物统计师/数据分析师']",北京亦铭信息咨询有限公司,其它 ,100-299人 ,上海
销售顾问＋数据分析+资产管理专家,8千-1.4万,上海-宝山,不限,本科,"['网络/信息安全', '通信/网络设备']",上海链家地产,民营 ,10000人以上 ,上海
高级数据分析师（上海）,1.5万-2.5万,上海-黄浦,3-5年,本科,"['品牌舆情', 'IT/互联网', '广告业', '新媒体', '软件行业', '汽车行业']",脉讯在线(北京)信息技术有限公司烟台分公司,民营 ,20-99人 ,上海
商业数据分析师,1.5万-2万,上海-杨浦,3-5年,本科,"['SQL', 'Python', 'Java', 'Shell', 'R语言']",上海我爱我家,上市公司 ,10000人以上 ,上海
管培生、销售经理、数据分析、储备店长、无责保障底薪8k,1.1万-2.2万,上海,不限,本科,"['营销方向', '市场方向', '销售方向', '店长方向']",上海链家地产,民营 ,10000人以上 ,上海
物理tutor留学生数学辅导essay线上辅导医学老师课程课后辅导双语辅导老师视频辅导线上兼职 数据分析,8千-1.5万,上海-静安,不限,本科,"['法律文件', '财经文件', '期刊论文']",淄博金诺客信息网络科技有限公司,民营 ,20-99人 ,上海
医疗外企 市场营销实习生 销售支持数据分析,140-150/天,上海-浦东,无经验,本科,"['无销售性质', '广告/公关营销', '品牌营销', '渠道营销']",任仕达企业管理(上海)有限公司深圳分公司,外商独资 ,100-299人 ,上海
管培生房地产-提供住宿方案-数据分析运营-8K起,8千-1.6万,上海-闵行,不限,本科,"['数据管理', '互联网销售', '置业顾问']",上海链家地产,民营 ,10000人以上 ,上海
数据分析员,5千-7千,上海-浦东,不限,大专,"['Python', 'excel']",青岛中瑞易和人力资源咨询服务有限公司,股份制企业 ,1000-9999人 ,上海
数据分析岗,1万-1.5万,上海-浦东,1-3年,本科,"['数据分析', '运营数据分析', '经营数据分析']",智联猎头,其它 ,1000-9999人 ,上海
销售经理、数据分析、财务管理、房产运营、链家直聘,1.8万-2.6万,上海,不限,本科,"['营销方向', '市场方向', '销售方向', '店长方向']",上海链家地产,民营 ,10000人以上 ,上海
数据分析师,8千-1万,上海-浦东,不限,本科,"['商业数据分析', 'Power BI']",科锐国际,合资 ,1000-9999人 ,上海
数据分析员,6千-7千,上海-浦东,1-3年,大专,"['周六日休息', '早九晚六', '入职交金']",上海巨政劳务派遣有限公司,民营 ,20-99人 ,上海
上市企业诚聘 销售代表 资管顾问 数据分析师 底薪8K+提成 本科管培生,8千-1.6万,上海-闵行,不限,本科,"['房地产', '互联网+', '门店销售', '大客户代表', '营销方向', '运营方向']",上海链家地产,民营 ,10000人以上 ,上海
数据分析,1.2万-1.5万,上海-虹口,1-3年,本科,"['SQL', 'Python']",北京仕邦达人力资源服务有限公司上海分公司,合资 ,100-299人 ,上海
数据分析（500强药企+六险一金）,9千-1.2万,上海-浦东,1-3年,本科,"['Power BI', 'excel']",万宝盛华企业管理咨询（上海）有限公司,上市公司 ,500-999人 ,上海
实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,8千-1.6万,上海-静安,不限,本科,"['市场营销', '置业顾问', '策划']",上海链家地产,民营 ,10000人以上 ,上海
人群资产运营岗（电商+数据/用户分析+双休）,2万-4万,上海-静安,不限,本科,"['商业数据分析', '运营数据分析', '销售数据分析', '舆情分析', '广告分析']",南方新华,其它 ,100-299人 ,上海
数据分析,1.2万-1.5万,上海-静安,1-3年,本科,['数据分析'],上海东浩人力资源有限公司,国企 ,100-299人 ,上海
VR互联网房产销售/就近安排/月薪10K起 用户运营数据分析,1万-2万,上海-静安,无经验,本科,"['院校客户', '企业客户', '房地产', '物联网', '人工智能', '电子商务', '新零售', '投资/理财']",上海链家地产,民营 ,10000人以上 ,上海
数据分析师-230277,1万-2万,上海-静安,3-5年,大专,['数据分析'],上海中智人才顾问咨询有限公司,国企 ,20-99人 ,上海
数据分析师(物流),1万-1.5万,上海-浦东,1-3年,本科,"['数据分析', 'Power BI', 'BI']",上海东浩人力资源有限公司,国企 ,100-299人 ,上海
数据分析工程师,1.3万-1.4万,上海-杨浦,1-3年,本科,"['Python', 'SQL', 'MATLAB', '智能驾驶', '数据分析']",苏州金色未来信息咨询股份有限公司,上市公司 ,100-299人 ,上海
BI数据分析-中高级优先【观远数据】,2万-3.5万,上海-长宁,不限,本科,"['SQL', '数据分析/挖掘经验', '泛零售、鞋服、餐饮行业', '供应链计划管理', '库存、配补调管理']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海
大数据/数据分析工程师,1.4万-2.8万,上海-浦东,不限,本科,"['数据挖掘', 'ETL开发', '数据建模', 'Python', 'Hadoop', 'MySQL', 'Oracle']",外企德科,合资 ,1000-9999人 ,上海
智能驾驶数据分析+包2餐,1.1万-1.3万,上海-杨浦,1-3年,大专,"['自动驾驶', 'ADAS', '智能驾驶']",苏州金色未来信息咨询股份有限公司,上市公司 ,100-299人 ,上海
部门助理 - 数据分析方向,6千-8千,上海-浦东,不限,本科,"['Python', 'SPSS', '商业数据分析', '管理咨询', '财务审计', '财务会计', '数据复核']",海智诺维企业咨询有限公司, ,100-299人 ,上海
数据分析专员,1万-2万,上海-浦东,1-3年,本科,"['数据分析', 'SPSS', 'Python']",智联猎头,其它 ,1000-9999人 ,上海
汽车行业 数据分析工程师,1.3万-1.4万,上海-杨浦,1-3年,本科,"['Python', 'Shell', 'SQL', '行业分析', '汽车行业数据分析']",苏州金色未来信息咨询股份有限公司,上市公司 ,100-299人 ,上海
【沐瞳游戏】ML运营-数据分析师,1.2万-1.8万,上海-闵行,1-3年,本科,"['Python', 'SQL', 'R语言', '游戏数据分析']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海
客服管理/数据分析岗,1万-1.5万,上海-闵行,3-5年,大专,['数据分析'],天津佩能能源科技发展有限公司,民营 ,20-99人 ,上海
自动驾驶数据分析工程师,1.1万-1.3万,上海-杨浦,1-3年,本科,"['Python', '运营数据分析']",苏州金色未来信息咨询股份有限公司,上市公司 ,100-299人 ,上海
数据分析师（数据可视化）,1.5万-2.5万,上海-浦东,3-5年,本科,"['数据分析', 'Tableau', 'Spark', 'Hadoop', 'Python', 'R语言', 'SQL', '运营数据分析']",万宝盛华,合资 ,1000-9999人 ,上海
销售数据分析主管（日语）,1万-1.5万,上海-长宁,不限,大专,['日语'],上海日弘企业管理咨询有限公司,合资 ,20-99人 ,上海
