岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
课程顾问,4千-8千,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"培训机构, 托管班, 初中教育, 小学教育, 地推销售, 电话销售, ",民营,20-99人,培训/辅导服务
质检员,5千-6千,天津·武清·东蒲洼,无经验,初中及以下,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
销售顾问,6千-8千,天津·南开·学府,1-3年,大专,天津科立尔科技有限公司,"院校客户, 面销/陌拜, 代理商销售",民营,20-99人,互联网
设备销售工程师,7千-1.2万,天津·武清·大王古庄,1-3年,大专,元厨(北京)科技有限公司,"网络销售, 电话销售, 机械销售, 外贸销售",民营,100-299人,专用设备制造
班主任,6千-1万,天津·南开·长虹,经验不限,本科,天津松鼠人工智能科技有限公司,"小学, 初中, 线下教育",民营,20-99人,培训/辅导服务
售后技术支持,5千-8千,天津·津南·双港,经验不限,大专,天津华大科技有限公司,,民营,20-99人,人工智能
商务渠道专员,5千-7千,天津·南开·嘉陵道,1-3年,本科,嘉思特医疗,"渠道合作, 商务合作",民营,300-499人,医疗设备/器械
统计文员,3千-5千,天津·武清·大王古庄,1-3年,大专,元厨(北京)科技有限公司,"数据统计, 资料管理, 后勤管理",民营,100-299人,专用设备制造
智能柜销售总监 教育/K12/高校/政企/医疗,2万-3.5万元/月,天津·南开·兴南,经验不限,中专/中技,广州智普达智能科技有限公司,,民营,20-99人,人工智能
行政文员,3千-5千,天津·西青·西营门,经验不限,学历不限,天津雨田木子网络科技有限公司,"内勤, 行政",员工关系,人事培训,人工智能
行政专员,5千-8千,天津·南开·体育中心,5-10年,本科,中海营设计集团有限公司,内勤管理,民营,20-99人,电子/半导体/集成电路
自动化设备销售经理,5千-8千,天津·武清·东蒲洼,经验不限,大专,北京哈德曼自动化设备有限公司,"面销/陌拜, 企业客户, 院校客户",民营,20-99人,工业自动化
仓库配货质检员,4千-6千,天津·滨海新区·泰达,经验不限,学历不限,亚太智能装备(天津)有限公司,"包装工, 理货员, 包吃包住",搬运工,20-99人,人工智能
产品市场经理,6千-8千,天津·南开·华苑,经验不限,学历不限,天津澜海海洋科技有限公司,,水下装备,20-99人,人工智能
大客户销售助理,5千-1万,天津·滨海新区·泰达,1-3年,大专,天津恒易通科技发展有限公司,,股份制企业,20-99人,电气机械/电力设备
大数据助理,7千-1.2万·14薪,天津·南开·鼓楼,3-5年,本科,杭州瀚学启程教育科技有限公司,数据建模,其它,100-299人,在线教育
做饭保洁,2千-3千,天津·河东·大王庄,经验不限,学历不限,天津松鼠人工智能科技有限公司,普通健康证(B类),民营,20-99人,培训/辅导服务
技术项目助理,4千-6千,天津·西青·西营门,3-5年,本科,天津市新程教育科技有限公司,,OA系统,人工智能,培训/辅导服务
电气工程师,5千-6千,天津·津南·双港,经验不限,中专/中技,肯拓智能装备(天津)集团有限公司,"安装/调试, 西门子, 测试, 控制柜, 变频器, 配电柜",民营,100-299人,专用设备制造
设备安装调试,4千-8千,天津·蓟州·上仓,经验不限,大专,天津泰格瑞祥仪器设备有限公司,"自动化设备, 非标设备, 机床设备",激光设备,人工智能,船舶/航空/航天/火车制造
质量检验员,7千-8千,天津·南开·嘉陵道,1-3年,大专,嘉思特医疗,质检,民营,300-499人,医疗设备/器械
行政内勤,5千-7千,天津·河西·马场,经验不限,大专,天津市东丽区奥普瑞森商贸有限公司,"资料管理, 行政内勤, 行政",内勤,人力资源,电子商务
机械装配工程师,4千-6千,天津·东丽·丰年村,3-5年,大专,天津合智达科技有限公司,"安装调试, 钳工证",民营,20-99人,工业自动化
教育咨询顾问,7千-1.4万,天津·南开·长虹,1-3年,大专,天津松鼠人工智能科技有限公司,"年终奖金, 带薪培训, 培训机构, 小学教育, 初中教育, 高中教育, , , ",民营,20-99人,培训/辅导服务
自动化销售工程师,9千-1.8万,天津·西青·中北,1-3年,中专/中技,艾弗斯(天津)科技有限公司,"工业自动化, 企业客户, 华北, 电子/半导体, 机械/重工, 面销",民营,20人以下,仪器仪表制造
数据分析师,6千-1万·13薪,天津·津南·双港,经验不限,大专,天津福硕鑫盛科技有限公司,,民营,100-299人,互联网
电梯维修保养,4千-6千,天津·西青·张家窝,经验不限,学历不限,天津市精工电梯工程有限公司,,电梯安装维修,特种设备作业人员证（电梯作业）,专业技术服务
销售经理,1万-2万,天津·西青·西营门,经验不限,大专,天津优控智行科技有限公司,,民营,100-299人,汽车研发/制造
大厂+试用期全薪+AI训练师,5千-1万,天津·红桥·芥园,无经验,本科,位来小猎(宁波)信息技术有限公司,"图像标注, 语音标注, 音频标注, 视频标注, 文本标注",合资,300-499人,计算机软件
售后技术支持,7千-9千,天津·西青·张家窝,1-3年,大专,天津天雾智能科技有限公司,"硬件集成调试, 技术沟通",民营,20-99人,电气机械/电力设备
新媒体运营及音视频剪辑助理,4千-8千,天津·南开·学府,经验不限,大专,金语智达科技(天津)有限公司,视频剪辑,其它,20人以下,人工智能
质检员,5千-9千·15薪,天津·西青·张家窝,经验不限,中专/中技,经纬恒润,,民营,1000-9999人,电子/半导体/集成电路
德语专员,6千-8千,天津·武清·东蒲洼,经验不限,学历不限,海棠人工智能行业应用系统(天津)有限公司,德语专业四级,民营,100-299人,人工智能
商务经理,4千-8千,天津·河东·常州道,经验不限,大专,天津九象科技发展有限公司,"商务合作, 渠道合作, 品牌合作, 网络销售, 面销/陌拜",,20人以下,人工智能
销售代表【周末双休+五险一金】,7千-1.4万·14薪,天津·南开·学府,1-3年,大专,融合通信,"KA大客户, 企业客户, 电话销售, 软件/SAAS产品推广销售, TOB, , , , ",民营,20-99人,运营商/增值服务
日语客服,7千-1万,天津·武清·东蒲洼,经验不限,大专,海棠人工智能行业应用系统(天津)有限公司,"口译, 日语专业四级, 日语N2, 全职, 无夜班",民营,100-299人,人工智能
招车工-月入9000,7千-9千,天津·南开·嘉陵道,1-3年,中专/中技,嘉思特医疗,数控,民营,300-499人,医疗设备/器械
市场销售经理,7千-1万,天津·河东·春华,经验不限,大专,广州华方智能科技有限公司,销售,股份制企业,20-99人,人工智能
销售工程师（工业品）,4千-8千,天津·北辰·青光,经验不限,大专,天津安时能源科技有限公司,"电池, 新能源, 区域销售, 直销",民营,新能源,新能源
检验员,5千-7千,天津·西青·张家窝,1-3年,大专,经纬恒润,"制程检验（IPQC）, SMT",民营,1000-9999人,电子/半导体/集成电路
电梯维修,5千-8千,天津·大王庄,1-3年,学历不限,天津安盛达电梯维修有限责任公司,"电梯安装维修, 安装调试, 安装维修, 特种作业操作证 （电工）, , ",民营,20-99人,专业技术服务
数据标注师,100-200/天,天津·西青·大寺,无经验,大专,技腾科技(天津)有限公司,图像标注,合资,20-99人,电子设备制造
销售工程师,6千-1.2万,天津·北辰·小淀,5-10年,大专,沃德传动,"人工智能, 物联网, 企业客户, 全国, 股份制企业, 100-299人",通用设备制造,人工智能,通用设备制造
销售助理,4千-8千·16薪,天津·西青·西营门,1-3年,本科,天津科雷迅科技发展有限公司,"销售管理, 销售数据分析, 行政管理, 资料管理, 合同管理",民营,20-99人,计算机软件
质检员,5千-6千,天津·津南·双港,1-3年,中专/中技,天津君宇科技股份有限公司,"制程检验（IPQC）, 来料检验（IQC）, 出货检验（OQC）",上市公司,20-99人,通用设备制造
高级销售经理,1.5万-2.5万,天津·新技术产业园,经验不限,大专,天津优控智行科技有限公司,"电子/半导体, 新能源, 汽车, 全国区域",民营,100-299人,汽车研发/制造
销售经理,1万-2万,天津·武清·汊沽港,3-5年,大专,英视睿达,"全国, 政府机构, 环保, 物联网",股份制企业,500-999人,IT服务
招聘车工,6千-7千,天津·津南·双港,3-5年,学历不限,天津君宇科技股份有限公司,车床设备,上市公司,20-99人,通用设备制造
3D建模师,5千-6千,天津·南开·鼓楼,经验不限,学历不限,北京神工科技有限公司,"3D MAX, KeyShot, PBR",民营,20-99人,船舶/航空/航天/火车制造
销售内勤专员,5千-9千,天津·西青·西营门,3-5年,大专,天津市三特电子有限公司,"订单管理, 内勤管理",民营,20-99人,仪器仪表制造
课程咨询老师,5千-1万,天津·南开·长虹,1-3年,本科,天津松鼠人工智能科技有限公司,"小学教育, 初中教育, 高中教育",民营,20-99人,培训/辅导服务
食其家储备店长+五险一金+就近分配+上五休二,7千-8千,天津·河东·上杭路,经验不限,大专,内蒙古杰森人力资源有限公司,门店店长方向,民营,100-299人,人力资源服务
非标自动化销售,9千-1.2万,天津·滨海新区·泰达,1-3年,中专/中技,天津赛威工业技术有限公司,"企业客户, 区域销售, 渠道销售, 面销/陌拜, KA大客户, ",民营,20-99人,工业自动化
设备售后工程师,5千-7千,天津·河东·上杭路,经验不限,大专,中科微至科技股份有限公司,,上市公司,1000-9999人,专用设备制造
招生顾问主管,8千-1.6万,天津·南开·长虹,1-3年,学历不限,天津松鼠人工智能科技有限公司,"做过招生班主任教务优先, 带薪培训, 年终奖金, 五险, 培训机构, , , , , , , , ",民营,20-99人,培训/辅导服务
销售 非电销 上市平台+六险一金,9千-1.5万,天津·河东·春华,经验不限,大专,天津童程童美科技有限公司,,教育培训,人工智能,培训/辅导服务
电气销售工程师,5千-1万,天津·西青·精武镇,1-3年,大专,天津理智鑫创能科技有限公司,"人工智能, 医疗设备/器械, 通信/网络设备, 企业客户（2B）, , , , , 民营, 20人以下",电气机械/电力设备,人工智能,电气机械/电力设备
招聘车工,6千-1.2万,天津·滨海新区·泰达,1-3年,中专/中技,亚太智能装备(天津)有限公司,20-99人,人工智能,20-99人,人工智能
招聘CNC/数控操作-五险/包午餐,8千-1万,天津·东丽·新立,5-10年,学历不限,天津柯斯特机电设备有限公司,,CNC加工中心,20-99人,人工智能
楼宇自控工程师,6千-1.2万,天津·精武镇,3-5年,大专,天津市创辉津控科技发展有限公司,CAD,民营,20-99人,仪器仪表制造
检验员,5千-6千,天津·西青·大寺,1-3年,中专/中技,经纬恒润,制程检验（IPQC）,民营,1000-9999人,电子/半导体/集成电路
自媒体运营专员,4千-8千,天津·河东·常州道,经验不限,大专,天津九象科技发展有限公司,"短视频平台, 企业官网, 图文平台, 微信公众号, 小红书, 抖音, , ",,20人以下,人工智能
渠道经理（天津区域）,6000元/月,天津·南开·学府,1-3年,大专,西安力创未来科技有限公司,"代理商/经销商, 面销/陌拜, 电话销售, 渠道拓展, 产品经理, ",民营,20-99人,IT服务
市场销售专员,4千-6千,天津·和平·南营门,1-3年,本科,天津荣尧智慧科技股份有限公司,"人工智能, 网络/信息安全, 通信/网络设备, 建筑业, 销售经理, , , 民营, 100-299人",房地产开发,人工智能,房地产开发
电子元器件销售工程师,5千-1万,天津·红桥·邵公庄,经验不限,大专,博通达(天津)技术有限公司,"硬件行业, 电子/半导体, 芯片, 渠道销售, 区域销售, ",民营,20-99人,零售/批发
招钳工-月入8000,7千-8千,天津·东丽·新立,5-10年,学历不限,天津柯斯特机电设备有限公司,,自动化零部件生产,20-99人,人工智能
销售工程师,5千-7千,天津·武清·东蒲洼,1-3年,本科,北京哈德曼自动化设备有限公司,"工业自动化, 企业客户",全国,人工智能,工业自动化
临床实验助理,6千-1万,天津·南开·学府,1-3年,大专,天津御锦人工智能医疗科技有限公司,"消化内科研究, GCP证书",民营,20-99人,医疗设备/器械
医疗器械销售助理,4千-8千,天津·武清·东蒲洼,1-3年,大专,天津启赋贝康医疗科技有限公司,"公立医院, 妇幼医院, 招标公司, 招标网站, 招标流程, , ",民营,100-299人,医疗设备/器械
服务员/储备店长+五险一金+上五休二就近分配,8千-9千,天津·和平·劝业场,经验不限,大专,内蒙古杰森人力资源有限公司,"大专以上学历, 男女不限, 经验不限",民营,100-299人,人力资源服务
订单处理员（实习生）,100-120/天,天津·滨海新区·泰达,无经验,大专,深之蓝,订单管理,民营,300-499人,人工智能
三坐标检验员,6千-8千,天津·武清·东蒲洼,1-3年,大专,天津京达鸿盛精密模具制造有限公司,,民营,20-99人,人工智能
销售工程师,8千-1.6万·13薪,天津·西青·张家窝,经验不限,大专,天津杰泰高科传感技术有限公司,,仪器仪表,人工智能,仪器仪表制造
